Index,Stream,OpDirn,ByteSize,Locality,Reg_Addr,Reg_Name,Reg_Payload,Tag,CmdSize,CmdCode/ResponseCode,Cmd_Name/Response_Name,Cmd_Payload/Response_Payload
166,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
166,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
167,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
167,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
168,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
168,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
169,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
169,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
170,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
170,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
171,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
171,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
172,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
172,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
173,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
173,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
174,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
174,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
175,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
175,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
176,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
176,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
177,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
177,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
178,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
178,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
179,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
179,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
180,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
180,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
181,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
181,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
182,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
182,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
183,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
183,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
184,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
184,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
185,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
185,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
186,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
186,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
187,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
187,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
188,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
188,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
189,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
189,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
190,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
190,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
191,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
191,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
192,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
192,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
193,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
193,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
194,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
194,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
195,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
195,MISO,READ,1,0,0x018,TPM_STS,94,,,,,
196,MOSI,READ,4,0,0x018,TPM_STS,00 00 00 00,,,,,
196,MISO,READ,4,0,0x018,TPM_STS,94 0A 00 04,,,,,
197,MOSI,READ,10,0,0x034,TPM_DATA_CSUM_ENABLE,00 00 00 00 00 00 00 00 00 00,,,,,
197,MISO,READ,10,0,0x034,TPM_DATA_CSUM_ENABLE,80 01 00 00 00 0A 00 00 00 00,,,,,
198,MOSI,WRITE,1,0,0x01C,RESERVED,40,,,,,
198,MISO,WRITE,1,0,0x01C,RESERVED,00,,,,,
199,MOSI,WRITE,1,0,0x000,TPM_ACCESS,30,,,,,
