Index,Length,MOSI,MISO
1641,5,80 D4 00 18 00,00 00 00 01 94
1642,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1640,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1644,5,00 D4 00 18 40,00 00 00 01 00
1645,5,00 D4 00 00 20,00 00 00 01 00
1646,5,80 D4 00 00 00,00 00 00 01 81
1647,5,00 D4 00 00 02,00 00 00 01 00
1648,5,80 D4 00 00 00,00 00 00 01 A1
1649,5,80 D4 00 18 00,00 00 00 01 04
1650,5,00 D4 00 18 40,00 00 00 01 00
1651,5,80 D4 00 18 00,00 00 00 01 44
1652,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1653,69,3F D4 00 24 80 02 00 00 00 41 00 00 01 82 00 00 00 04 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 0B 3D 67 72 B4 F8 4E D4 75 95 D7 2A 2C 4C 5F FD 15 F5 BB 72 C7 50 7F E2 6F 2A AE E2 C6 9D 56 33 BA,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1655,5,80 D4 00 18 00,00 00 00 01 84
1656,5,80 D4 00 18 00,00 00 00 01 84
1657,5,00 D4 00 18 20,00 00 00 01 00
1658,5,80 D4 00 18 00,00 00 00 01 94
1659,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
1661,5,80 D4 00 18 00,00 00 00 01 94
1662,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
1660,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
1664,5,00 D4 00 18 40,00 00 00 01 00
1665,5,00 D4 00 00 20,00 00 00 01 00
1666,5,80 D4 00 00 00,00 00 00 01 81
1667,5,00 D4 00 00 02,00 00 00 01 00
1668,5,80 D4 00 00 00,00 00 00 01 A1
1669,5,80 D4 00 18 00,00 00 00 01 04
1670,5,00 D4 00 18 40,00 00 00 01 00
1671,5,80 D4 00 18 00,00 00 00 01 44
1672,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1673,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1674,5,80 D4 00 18 00,00 00 00 01 84
1675,5,80 D4 00 18 00,00 00 00 01 84
1676,5,00 D4 00 18 20,00 00 00 01 00
1677,5,80 D4 00 18 00,00 00 00 01 94
1678,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1680,5,80 D4 00 18 00,00 00 00 01 94
1681,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1679,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1683,5,00 D4 00 18 40,00 00 00 01 00
1684,5,00 D4 00 00 20,00 00 00 01 00
1685,5,80 D4 00 00 00,00 00 00 01 81
1686,5,00 D4 00 00 02,00 00 00 01 00
1687,5,80 D4 00 00 00,00 00 00 01 A1
1688,5,80 D4 00 18 00,00 00 00 01 04
1689,5,00 D4 00 18 40,00 00 00 01 00
1690,5,80 D4 00 18 00,00 00 00 01 44
1691,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1692,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1693,5,80 D4 00 18 00,00 00 00 01 84
1694,5,80 D4 00 18 00,00 00 00 01 84
1695,5,00 D4 00 18 20,00 00 00 01 00
1696,5,80 D4 00 18 00,00 00 00 01 94
1697,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
1699,5,80 D4 00 18 00,00 00 00 01 94
1700,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1698,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1702,5,00 D4 00 18 40,00 00 00 01 00
1703,5,00 D4 00 00 20,00 00 00 01 00
1704,5,80 D4 00 00 00,00 00 00 01 81
1705,5,00 D4 00 00 02,00 00 00 01 00
1706,5,80 D4 00 00 00,00 00 00 01 A1
1707,5,80 D4 00 18 00,00 00 00 01 04
1708,5,00 D4 00 18 40,00 00 00 01 00
1709,5,80 D4 00 18 00,00 00 00 01 44
1710,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1711,57,34 D4 00 24 80 02 00 00 00 35 00 00 01 82 00 00 00 01 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 04 98 F7 0B 50 8C B2 7E 6B C3 EC 05 DA AC 4C 64 EC E4 C3 63 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1712,5,80 D4 00 18 00,00 00 00 01 84
1713,5,80 D4 00 18 00,00 00 00 01 84
1714,5,00 D4 00 18 20,00 00 00 01 00
1715,5,80 D4 00 18 00,00 00 00 01 94
1716,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
1718,5,80 D4 00 18 00,00 00 00 01 94
1719,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
1717,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
1721,5,00 D4 00 18 40,00 00 00 01 00
1722,5,00 D4 00 00 20,00 00 00 01 00
1723,5,80 D4 00 00 00,00 00 00 01 81
1724,5,00 D4 00 00 02,00 00 00 01 00
1725,5,80 D4 00 00 00,00 00 00 01 A1
1726,5,80 D4 00 18 00,00 00 00 01 04
1727,5,00 D4 00 18 40,00 00 00 01 00
1728,5,80 D4 00 18 00,00 00 00 01 44
1729,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1730,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1731,5,80 D4 00 18 00,00 00 00 01 84
1732,5,80 D4 00 18 00,00 00 00 01 84
1733,5,00 D4 00 18 20,00 00 00 01 00
1734,5,80 D4 00 18 00,00 00 00 01 94
1735,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1737,5,80 D4 00 18 00,00 00 00 01 94
1738,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1736,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1740,5,00 D4 00 18 40,00 00 00 01 00
1741,5,00 D4 00 00 20,00 00 00 01 00
1742,5,80 D4 00 00 00,00 00 00 01 81
1743,5,00 D4 00 00 02,00 00 00 01 00
1744,5,80 D4 00 00 00,00 00 00 01 A1
1745,5,80 D4 00 18 00,00 00 00 01 04
1746,5,00 D4 00 18 40,00 00 00 01 00
1747,5,80 D4 00 18 00,00 00 00 01 44
1748,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1749,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1750,5,80 D4 00 18 00,00 00 00 01 84
1751,5,80 D4 00 18 00,00 00 00 01 84
1752,5,00 D4 00 18 20,00 00 00 01 00
1753,5,80 D4 00 18 00,00 00 00 01 94
1754,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
1756,5,80 D4 00 18 00,00 00 00 01 94
1757,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1755,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1759,5,00 D4 00 18 40,00 00 00 01 00
1760,5,00 D4 00 00 20,00 00 00 01 00
1761,5,80 D4 00 00 00,00 00 00 01 81
1762,5,00 D4 00 00 02,00 00 00 01 00
1763,5,80 D4 00 00 00,00 00 00 01 A1
1764,5,80 D4 00 18 00,00 00 00 01 04
1765,5,00 D4 00 18 40,00 00 00 01 00
1766,5,80 D4 00 18 00,00 00 00 01 44
1767,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1768,69,3F D4 00 24 80 02 00 00 00 41 00 00 01 82 00 00 00 01 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 0B 93 89 B0 A1 40 A2 E1 DD 45 2E 71 5F 2F ED 0A DF B9 F4 0F A5 BF 92 03 17 49 7B 1E 2D E2 30 A1 29,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1770,5,80 D4 00 18 00,00 00 00 01 84
1771,5,80 D4 00 18 00,00 00 00 01 84
1772,5,00 D4 00 18 20,00 00 00 01 00
1773,5,80 D4 00 18 00,00 00 00 01 94
1774,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
1776,5,80 D4 00 18 00,00 00 00 01 94
1777,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
1775,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
1779,5,00 D4 00 18 40,00 00 00 01 00
1780,5,00 D4 00 00 20,00 00 00 01 00
1781,5,80 D4 00 00 00,00 00 00 01 81
1782,5,00 D4 00 00 02,00 00 00 01 00
1783,5,80 D4 00 00 00,00 00 00 01 A1
1784,5,80 D4 00 18 00,00 00 00 01 04
1785,5,00 D4 00 18 40,00 00 00 01 00
1786,5,80 D4 00 18 00,00 00 00 01 44
1787,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1788,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1789,5,80 D4 00 18 00,00 00 00 01 84
1790,5,80 D4 00 18 00,00 00 00 01 84
1791,5,00 D4 00 18 20,00 00 00 01 00
1792,5,80 D4 00 18 00,00 00 00 01 94
1793,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1795,5,80 D4 00 18 00,00 00 00 01 94
1796,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1794,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1798,5,00 D4 00 18 40,00 00 00 01 00
1799,5,00 D4 00 00 20,00 00 00 01 00
1800,5,80 D4 00 00 00,00 00 00 01 81
1801,5,00 D4 00 00 02,00 00 00 01 00
1802,5,80 D4 00 00 00,00 00 00 01 A1
1803,5,80 D4 00 18 00,00 00 00 01 04
1804,5,00 D4 00 18 40,00 00 00 01 00
1805,5,80 D4 00 18 00,00 00 00 01 44
1806,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1807,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 92 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1808,5,80 D4 00 18 00,00 00 00 01 84
1809,5,80 D4 00 18 00,00 00 00 01 84
1810,5,00 D4 00 18 20,00 00 00 01 00
1811,5,80 D4 00 18 00,00 00 00 01 94
1812,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
1814,5,80 D4 00 18 00,00 00 00 01 94
1815,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1813,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1817,5,00 D4 00 18 40,00 00 00 01 00
1818,5,00 D4 00 00 20,00 00 00 01 00
1819,5,80 D4 00 00 00,00 00 00 01 81
1820,5,00 D4 00 00 02,00 00 00 01 00
1821,5,80 D4 00 00 00,00 00 00 01 A1
1822,5,80 D4 00 18 00,00 00 00 01 04
1823,5,00 D4 00 18 40,00 00 00 01 00
1824,5,80 D4 00 18 00,00 00 00 01 44
1825,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1826,57,34 D4 00 24 80 02 00 00 00 35 00 00 01 82 00 00 00 00 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 04 90 69 CA 78 E7 45 0A 28 51 73 43 1B 3E 52 C5 C2 52 99 E4 73,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1827,5,80 D4 00 18 00,00 00 00 01 84
1828,5,80 D4 00 18 00,00 00 00 01 84
1829,5,00 D4 00 18 20,00 00 00 01 00
1830,5,80 D4 00 18 00,00 00 00 01 94
1831,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
1833,5,80 D4 00 18 00,00 00 00 01 94
1834,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
1832,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
1836,5,00 D4 00 18 40,00 00 00 01 00
1837,5,00 D4 00 00 20,00 00 00 01 00
1838,5,80 D4 00 00 00,00 00 00 01 81
1839,5,00 D4 00 00 02,00 00 00 01 00
1840,5,80 D4 00 00 00,00 00 00 01 A1
1841,5,80 D4 00 18 00,00 00 00 01 04
1842,5,00 D4 00 18 40,00 00 00 01 00
1843,5,80 D4 00 18 00,00 00 00 01 44
1844,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1845,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1846,5,80 D4 00 18 00,00 00 00 01 84
1847,5,80 D4 00 18 00,00 00 00 01 84
1848,5,00 D4 00 18 20,00 00 00 01 00
1849,5,80 D4 00 18 00,00 00 00 01 94
1850,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1852,5,80 D4 00 18 00,00 00 00 01 94
1853,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1851,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1855,5,00 D4 00 18 40,00 00 00 01 00
1856,5,00 D4 00 00 20,00 00 00 01 00
1857,5,80 D4 00 00 00,00 00 00 01 81
1858,5,00 D4 00 00 02,00 00 00 01 00
1859,5,80 D4 00 00 00,00 00 00 01 A1
1860,5,80 D4 00 18 00,00 00 00 01 44
1861,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1862,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1863,5,80 D4 00 18 00,00 00 00 01 84
1864,5,80 D4 00 18 00,00 00 00 01 84
1865,5,00 D4 00 18 20,00 00 00 01 00
1866,5,80 D4 00 18 00,00 00 00 01 94
1867,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
1869,5,80 D4 00 18 00,00 00 00 01 94
1870,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1868,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1872,5,00 D4 00 18 40,00 00 00 01 00
1873,5,00 D4 00 00 20,00 00 00 01 00
1874,5,80 D4 00 00 00,00 00 00 01 81
1875,5,00 D4 00 00 02,00 00 00 01 00
1876,5,80 D4 00 00 00,00 00 00 01 A1
1877,5,80 D4 00 18 00,00 00 00 01 04
1878,5,00 D4 00 18 40,00 00 00 01 00
1879,5,80 D4 00 18 00,00 00 00 01 44
1880,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1881,69,3F D4 00 24 80 02 00 00 00 41 00 00 01 82 00 00 00 00 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 0B DF 3F 61 98 04 A9 2F DB 40 57 19 2D C4 3D D7 48 EA 77 8A DC 52 BC 49 8C EC 05 24 C0 14 B8 11 19,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1883,5,80 D4 00 18 00,00 00 00 01 84
1884,5,80 D4 00 18 00,00 00 00 01 84
1885,5,00 D4 00 18 20,00 00 00 01 00
1886,5,80 D4 00 18 00,00 00 00 01 94
1887,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
1889,5,80 D4 00 18 00,00 00 00 01 94
1890,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
1888,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
1892,5,00 D4 00 18 40,00 00 00 01 00
1893,5,00 D4 00 00 20,00 00 00 01 00
1894,5,80 D4 00 00 00,00 00 00 01 81
1895,5,00 D4 00 00 02,00 00 00 01 00
1896,5,80 D4 00 00 00,00 00 00 01 A1
1897,5,80 D4 00 18 00,00 00 00 01 04
1898,5,00 D4 00 18 40,00 00 00 01 00
1899,5,80 D4 00 18 00,00 00 00 01 44
1900,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1901,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1902,5,80 D4 00 18 00,00 00 00 01 84
1903,5,80 D4 00 18 00,00 00 00 01 84
1904,5,00 D4 00 18 20,00 00 00 01 00
1905,5,80 D4 00 18 00,00 00 00 01 94
1906,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1908,5,80 D4 00 18 00,00 00 00 01 94
1909,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1907,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1911,5,00 D4 00 18 40,00 00 00 01 00
1912,5,00 D4 00 00 20,00 00 00 01 00
1913,5,80 D4 00 00 00,00 00 00 01 81
1914,5,00 D4 00 00 02,00 00 00 01 00
1915,5,80 D4 00 00 00,00 00 00 01 A1
1916,5,80 D4 00 18 00,00 00 00 01 04
1917,5,00 D4 00 18 40,00 00 00 01 00
1918,5,80 D4 00 18 00,00 00 00 01 44
1919,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1920,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1921,5,80 D4 00 18 00,00 00 00 01 84
1922,5,80 D4 00 18 00,00 00 00 01 84
1923,5,00 D4 00 18 20,00 00 00 01 00
1924,5,80 D4 00 18 00,00 00 00 01 94
1925,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
1927,5,80 D4 00 18 00,00 00 00 01 94
1928,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1926,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1930,5,00 D4 00 18 40,00 00 00 01 00
1931,5,00 D4 00 00 20,00 00 00 01 00
1932,5,80 D4 00 00 00,00 00 00 01 81
1933,5,00 D4 00 00 02,00 00 00 01 00
1934,5,80 D4 00 00 00,00 00 00 01 A1
1935,5,80 D4 00 18 00,00 00 00 01 04
1936,5,00 D4 00 18 40,00 00 00 01 00
1937,5,80 D4 00 18 00,00 00 00 01 44
1938,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1939,57,34 D4 00 24 80 02 00 00 00 35 00 00 01 82 00 00 00 01 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 04 90 69 CA 78 E7 45 0A 28 51 73 43 1B 3E 52 C5 C2 52 99 E4 73,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1940,5,80 D4 00 18 00,00 00 00 01 84
1941,5,80 D4 00 18 00,00 00 00 01 84
1942,5,00 D4 00 18 20,00 00 00 01 00
1943,5,80 D4 00 18 00,00 00 00 01 94
1944,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
1946,5,80 D4 00 18 00,00 00 00 01 94
1947,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
1945,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
1949,5,00 D4 00 18 40,00 00 00 01 00
1950,5,00 D4 00 00 20,00 00 00 01 00
1951,5,80 D4 00 00 00,00 00 00 01 81
1952,5,00 D4 00 00 02,00 00 00 01 00
1953,5,80 D4 00 00 00,00 00 00 01 A1
1954,5,80 D4 00 18 00,00 00 00 01 04
1955,5,00 D4 00 18 40,00 00 00 01 00
1956,5,80 D4 00 18 00,00 00 00 01 44
1957,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1958,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1959,5,80 D4 00 18 00,00 00 00 01 84
1960,5,80 D4 00 18 00,00 00 00 01 84
1961,5,00 D4 00 18 20,00 00 00 01 00
1962,5,80 D4 00 18 00,00 00 00 01 94
1963,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1965,5,80 D4 00 18 00,00 00 00 01 94
1966,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1964,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1968,5,00 D4 00 18 40,00 00 00 01 00
1969,5,00 D4 00 00 20,00 00 00 01 00
1970,5,80 D4 00 00 00,00 00 00 01 81
1971,5,00 D4 00 00 02,00 00 00 01 00
1972,5,80 D4 00 00 00,00 00 00 01 A1
1973,5,80 D4 00 18 00,00 00 00 01 04
1974,5,00 D4 00 18 40,00 00 00 01 00
1975,5,80 D4 00 18 00,00 00 00 01 44
1976,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1977,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1978,5,80 D4 00 18 00,00 00 00 01 84
1979,5,80 D4 00 18 00,00 00 00 01 84
1980,5,00 D4 00 18 20,00 00 00 01 00
1981,5,80 D4 00 18 00,00 00 00 01 94
1982,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
1984,5,80 D4 00 18 00,00 00 00 01 94
1985,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1983,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1987,5,00 D4 00 18 40,00 00 00 01 00
1988,5,00 D4 00 00 20,00 00 00 01 00
1989,5,80 D4 00 00 00,00 00 00 01 81
1990,5,00 D4 00 00 02,00 00 00 01 00
1991,5,80 D4 00 00 00,00 00 00 01 A1
1992,5,80 D4 00 18 00,00 00 00 01 04
1993,5,00 D4 00 18 40,00 00 00 01 00
1994,5,80 D4 00 18 00,00 00 00 01 44
1995,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1996,69,3F D4 00 24 80 02 00 00 00 41 00 00 01 82 00 00 00 01 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 0B DF 3F 61 98 04 A9 2F DB 40 57 19 2D C4 3D D7 48 EA 77 8A DC 52 BC 49 8C E8 05 24 C0 14 B8 11 19,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1998,5,80 D4 00 18 00,00 00 00 01 84
1999,5,80 D4 00 18 00,00 00 00 01 84
2000,5,00 D4 00 18 20,00 00 00 01 00
2001,5,80 D4 00 18 00,00 00 00 01 94
2002,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
2004,5,80 D4 00 18 00,00 00 00 01 94
2005,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
2003,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
2007,5,00 D4 00 18 40,00 00 00 01 00
2008,5,00 D4 00 00 20,00 00 00 01 00
2009,5,80 D4 00 00 00,00 00 00 01 81
2010,5,00 D4 00 00 02,00 00 00 01 00
2011,5,80 D4 00 00 00,00 00 00 01 A1
2012,5,80 D4 00 18 00,00 00 00 01 04
2013,5,00 D4 00 18 40,00 00 00 01 00
